Text,Rating,Drug
"I started ozempic 9 months ago. At the time I was a little over 200 lbs and was taking 1000 mg of metformin daily. Metformin had worked for me for almost 20 yrs so I didn't expect that is had suddenly stopped working. For 3 years I gained weight even though I worked out, and I thought it was just my appetite out of control. One random day I realized my metformin was the problem. I saw a new dr who prescribed ozempic. What a miracle! 9 months later and I’m down 40 lbs, my a1c dropped from 8.1 to 5.6, and I have virtually no symptoms from the drug other than fullness. The symptoms in the beginning did not last long either. Nausea, headache, fatigue...all cleared up within a week or 2 each time my dose was increased. It can cause what feels like constipation but for me it’s just that I simply haven’t eaten enough. This drug feels too good to be true. I’m so pleased with my experience so far!",10.0,Ozempic
"I did one injection and have been ill since.
Have had acid reflux, burping, vomiting, constipation, headache and dizziness. I tried to eat small meals and drink plenty of water as directed by my physician, but I have been unable to hold anything down. 5 days after my first injection, I'm off work drinking pedialyte trying to get my strength back and avoid being hospitalized. This is the worst that I have ever felt in my life.",1.0,Ozempic
"I’ve been Ozempic for 4 weeks.  I am so glad that my doctor sat me down and told me what to expect.  She also asked if I could handle it.  She said that if you can make it through the 4th week I promise it will get better.   She was right.  I was pretty sick the first two weeks.  I learned that it had a lot to do with me trying to eat my normal intake of food.  Once I started to catch a clue and making my portions smaller, I learned it would make me feel better.  I could guarantee if I ate too much, I’d feel like crap.  People aren’t kidding about the side effects.   It’s real.  But I made it and am now starting to feel better with each day.  I’ve lost 18 pounds now and I’m amazed.   Yes it makes you sick but if you keep trying to eat like you did it will be worse.  You have to start listening to your body    You can’t keep eating your same amounts and expect to lose weight.",10.0,Ozempic
"Started on Ozempic Sept 2020, starting weight 312 lbs (5’ 4”).  I am type 2 diabetic and take 2550mg of Metformin daily. HbA1c was 79, sugar cravings and blood sugar out of control. Started on 0.25 dose, for a month. Quite bad stomach cramps and nausea for the first month. Went up to 0.5 on month 2, then 1.0 dose for month 3 and since. No 1 tip - inject into your leg rather than around your belly. Once I changed to injecting in my leg, nausea and cramps disappeared overnight & never came back. To maximise effectiveness, you can’t eat like you did before. I re-joined Weight Watchers in Sept. I have lost 80lbs in 5 months, HBA1c dropped from 79 to 51 which is normal type 2 level although the doc feels with more weight loss, it could go to normal levels. In Ireland, diabetes is classed as a long term illness so all medications are covered by the government so I don’t have to pay for this. Otherwise costs €195.",10.0,Ozempic
I took one Ozempic injection at .25 and ended up at ER 2 days later. I had horrible bloating. Burping smelled like eggs. Unstoppable vomiting and diarrhea. I ONLY TOOK ONE INJECTION and stopped the medicine. It has been 2 weeks and the medicine still making me sick. I'm just wondering how long it takes to fully leave your system? I just want to feel human again. I was tested for pancreatitis but was ok but dr said will repeat labs soon. I DON'T RECOMMEND THIS MEDICATION TO ANYONE. PLEASE BE SAFE TAKING THIS MEDICATION.,1.0,Ozempic
"Ozempic has caused me so much constipation !!! I know a side effect is diarrhea but it does the complete OPPOSITE for me . A day or two after I take my injection I have no bowel movements at all !! Every week I  am forced to take a laxative . It has caused so many problems for me . 
Anyone else experienced severe constipation . So frustrated",1.0,Ozempic
"I'm a 54 year old female who's a1c was 8.3 at the end of March.  So after 4 months on Ozempic, my a1c is now 6.3! and I've lost 34 lbs. Definitely curbs my appetite and I have been logging my food.  My side effects have been minimal, a little nausea in the beginning and constipation. This med has been a game changer for me. My hope I that many others will have the same results I have.",10.0,Ozempic
"I was terrified to take this after reading some of the reviews online, but I have to say I am so happy I started this drug. I've followed others suggestions about injecting the drug into my upper thigh and not my abdomen. I was on a .25 dose for 4 weeks then moved to .5 and that's what I currently take. My appetite has decreased SIGNIFICANTLY. I was addicted to eating junk foods, and I simply cannot eat them anymore, my stomach cannot handle them. I get full after eating one proper sized meal, and it keeps me going for most of the day, only having a snack like 1 apple in the evening. Side effects were mild for me, had some constipation but I started taking fiber supplements to help with that. I have been on the medication for 7 weeks now and I'm down 10lbs and I feel great. Make sure your doctor gets you to increase the dose slowly, inject into your thigh and be ready to make 
better dietary choices when starting this drug. I truly believe it saved me from morbid obesity.",10.0,Ozempic
"After reading this, that junk in the fridge will go in the garbage. 
Do NOT  put yourselves through this for weight loss and even diabetes.
I mean seriously, which is worse?
Pancreatitis? Thyroid cancer? Horrible gastro conditions? 
Injecting ourselves with this lizard juice can't be good for us.
And, it’s beyond expensive to say the least.
Pharmaceutical companies should be ashamed of themselves but that’s nothing new. 
This is totally off the charts.
Just say no to drugs these drugs.
Please be fair and unbiased and publish this comment, if you’re fair and unbiased!",,Ozempic
"I started Ozempic in late December at .25 injection. I also take 500mg metformin per day. Soon after I started Ozempic I had decreased apetitite and my sugars improved, but I had reflux, gas, bloating, nausea and diarrhea. After 4 weeks I started .50. 2 weeks in I have bouts of painful constipation then diarrhea, nausea, bloating, gas, reflux and cramping. I've almost vomited a few times. When I eat it feels like the food just sits and sits, barely moving through my gut. My doctor wants me to stick with it, saying that these side effects usually improve, but It's been pretty miserable. I'm thinking I'm going to stop taking it. While Ozempic has been effective in regulating my sugars and losing weight, I don't think it's worth the suffering that I've been enduring on this medication. I understand that studies showed it causing thyroid cancer in mice, but no one knows if it causes thyroid cancer in humans. I don't want to be the guinea pig the drug makers use to find out it does.",5.0,Ozempic
